Time,Li7,B11,Mg24,Ca43,Mn55,Ni60,Cu65,Zn66,Sr86,Ba137,Pb208,U238
0,0,1600,235300,47720,700,800,100,400,134400,1700,6502,700
173,0,1000,159500,47320,500,200,0,200,86110,1900,6402,1000
346,0,1000,152000,33560,500,500,100,0,63720,1400,4701,500
519,0,200,137600,23930,300,200,0,0,40690,1000,5602,500
692,0,300,92370,15710,200,200,0,100,31760,900,5502,100
865,0,0,67250,10710,300,100,200,0,18920,800,5001,300
1038,0,200,39890,6102,200,0,0,100,17920,800,4001,0
1211,0,300,17220,5201,200,0,0,0,8604,200,6002,0
1384,0,500,18320,4201,400,0,0,0,7803,100,5602,0
1557,0,400,7303,3301,300,0,0,200,6803,200,5702,0
1730,0,400,42500,2700,300,0,100,100,8604,600,5702,100
1903,0,200,6202,2700,0,100,0,0,26040,200,4901,0
2076,0,100,6602,4701,300,0,0,200,246300,300,3701,0
2249,0,200,4401,6302,200,0,0,0,15710,300,4601,0
2422,0,100,3801,1100,300,0,0,200,4901,100,4601,0
2595,100,500,6202,3401,400,0,200,0,5101,200,5902,0
2768,0,100,4601,8904,200,0,0,0,5702,0,4701,0
2941,0,300,3501,3501,300,0,200,100,6702,400,4901,0
3114,0,0,4001,5702,100,0,0,0,10910,300,6202,0
3287,0,300,5802,6302,0,0,0,0,9605,400,5802,100
3460,0,400,6702,5902,100,0,0,0,10910,200,5702,100
3633,0,0,6702,20520,400,200,500,0,11210,300,6702,200
3806,0,400,9105,4701,300,0,100,100,10110,300,3401,0
3979,0,200,40190,9405,300,0,300,0,8704,400,4401,100
4152,0,100,7303,5001,100,100,100,200,14610,400,4001,100
4325,0,300,5201,5402,400,0,0,300,10910,600,3501,100
4498,0,100,5101,21930,400,100,0,0,11310,900,3000,200
4671,0,100,12510,11910,100,100,100,0,23430,800,4401,400
4844,0,600,12110,12010,300,0,0,0,30750,500,6302,700
5017,0,100,14010,19320,100,0,0,100,37980,1000,6602,200
5190,0,900,23030,19620,100,0,0,0,57280,2900,5101,1100
5363,0,500,26640,25540,300,100,200,0,79140,2500,6102,400
5536,0,400,27940,27940,100,100,0,0,95900,3000,6002,1100
5709,0,1000,37980,51850,300,0,100,100,164200,4601,5302,1400
5882,0,400,50740,51450,400,300,0,100,125800,4301,8304,1600
6055,0,1400,52750,64230,300,400,100,100,151700,3701,7003,1900
6228,100,1100,61000,63020,400,0,0,100,166900,4301,7203,1400
6401,0,1700,57780,73290,200,0,0,0,188600,5502,8804,1400
6574,0,900,71680,86210,400,0,100,400,204400,5902,10710,3201
6747,0,1600,86310,113700,700,0,0,2000,305900,8404,11610,3101
6920,0,1800,119300,163700,300,0,400,0,391200,9205,14110,3201
7093,0,1500,133400,179800,400,100,0,1700,419000,10610,19220,4101
7266,0,2800,132700,192600,700,500,0,200,408800,10210,16510,3000
7439,100,1700,124500,167300,700,0,0,800,338500,14810,10210,4301
7612,0,1900,113700,142100,500,0,100,200,289600,7703,8004,2600
7785,0,1000,81970,164600,200,0,0,0,299000,7203,5502,2700
7958,0,1200,92970,144600,600,0,0,100,308000,6903,6602,2800
8131,0,800,95200,144000,500,0,200,100,447800,9004,9705,3301
8304,0,2000,117800,166100,100,100,100,300,404700,9105,7603,3000
8477,0,2400,109200,195900,600,0,0,0,479300,12410,10710,3201
8650,0,2900,204200,280900,400,0,0,400,605900,12310,11810,5302
8823,0,2200,191000,293200,600,0,200,0,671800,14110,10210,4201
8996,100,2300,199200,284600,700,0,200,0,654400,11910,8904,5402
9169,100,2300,197100,278000,400,0,100,0,752500,13910,10910,5702
9342,0,2300,205700,297300,1000,100,200,100,660800,16820,9405,4701
9515,200,2200,208100,294300,1200,0,200,100,677500,15310,10710,6202
9688,100,3701,203600,334100,500,200,100,400,662800,13810,7203,4501
9861,0,2900,203300,285000,400,100,0,0,647600,10810,11310,5302
10034,0,2700,196100,291300,700,0,100,200,604900,10910,8404,4901
10207,100,1100,184500,392400,400,100,200,300,616500,13210,10010,5702
10380,0,2400,214900,310600,700,0,400,100,692400,13810,10710,5201
10553,0,3401,213200,302400,400,200,100,200,652000,12710,10510,3701
