"","Time","Li7","Be9","B11","Mg24","Al27","Ca43","Ca44","Mn55","Cu65","Zn66","Sr88","Ba137","U238","backCorrLi7","backCorrBe9","backCorrB11","backCorrMg24","backCorrAl27","backCorrCa43","backCorrCa44","backCorrMn55","backCorrCu65","backCorrZn66","backCorrSr88","backCorrBa137"
"225",35.1439,6,0,9,2702.58,3127.95,7371.9,124131.27,1865.43,31,7,28070.22,24,0,4,0,9,2684.58,3095.95,7361.9,124033.23,1821.42,31,7,28070.22,24
"226",35.2999,11,0,5,3278.5,5488.77,6133.82,106260.44,1802.54,30,13,27707.88,45.01,2,9,0,5,3260.5,5456.77,6123.82,106162.4,1758.53,30,13,27707.88,45.01
"227",35.456,8,0,10,3686.12,4093.04,6598.86,115950.71,2141.68,48.01,12,27529.76,19,1,6,0,10,3668.12,4061.04,6588.86,115852.67,2097.67,48.01,12,27529.76,19
"228",35.612,6,0,6,4226.05,4148.76,7056.03,116553.04,2638.79,42.01,15,26234.73,51.01,2,4,0,6,4208.05,4116.76,7046.03,116455,2594.78,42.01,15,26234.73,51.01
"229",35.768,3,0,15,3690.23,5496.07,5744.58,114391.88,2878.85,34,16,30458.21,36.01,1,1,0,15,3672.23,5464.07,5734.58,114293.84,2834.84,34,16,30458.21,36.01
"230",35.924,12,0,12,3929.02,2741.42,6539.98,93562.3,2258.65,47.01,16,26143.53,29,3,10,0,12,3911.02,2709.42,6529.98,93464.26,2214.64,47.01,16,26143.53,29
"231",36.08,7,0,8,4252.9,14257.77,5878.38,98797.63,2164.05,39.01,12,21429.91,19,4,5,0,8,4234.9,14225.77,5868.38,98699.59,2120.04,39.01,12,21429.91,19
"232",36.236,11,0,8,4244.64,3213.35,5884.66,109230.84,2202.7,26,8,22157.18,16,1,9,0,8,4226.64,3181.35,5874.66,109132.8,2158.69,26,8,22157.18,16
"233",36.392,6,0,4,3919.75,2752.66,6925.25,121999.22,2976.03,32,8,24618.23,27,0,4,0,4,3901.75,2720.66,6915.25,121901.18,2932.02,32,8,24618.23,27
"234",36.5481,7,0,5,3293.88,2019.47,5003.79,89136.47,1620.14,32,19,25129.71,17,0,5,0,5,3275.88,1987.47,4993.79,89038.43,1576.13,32,19,25129.71,17
"235",36.7041,7,0,8,3589.49,2052.98,5199.26,87052.92,1487.55,14,10,20306.14,22,2,5,0,8,3571.49,2020.98,5189.26,86954.88,1443.54,14,10,20306.14,22
"236",36.8601,8,0,10,4184.76,1819.57,6022.79,112011.53,1727.52,41.01,10,21961.53,18,0,6,0,10,4166.76,1787.57,6012.79,111913.49,1683.51,41.01,10,21961.53,18
"237",37.0161,5,0,8,3888.85,1829.71,6270.12,106723.39,1675.84,26,8,21937.43,15,0,3,0,8,3870.85,1797.71,6260.12,106625.35,1631.83,26,8,21937.43,15
"238",37.1721,5,0,3,3131.98,3190.43,6386.61,103669.6,1751.85,35,13,25665.75,12,2,3,0,3,3113.98,3158.43,6376.61,103571.56,1707.84,35,13,25665.75,12
"239",37.3281,6,1,6,3198.56,1210.58,5063.02,86540.11,1370.26,21,6,25687.25,11,0,4,1,6,3180.56,1178.58,5053.02,86442.07,1326.25,21,6,25687.25,11
"240",37.4841,7,0,7,3358.49,1367.11,5815.65,97319.49,1426.87,23,9,20819.15,15,0,5,0,7,3340.49,1335.11,5805.65,97221.45,1382.86,23,9,20819.15,15
"241",37.6401,4,0,5,3506.28,1404.5,6029.08,107055.94,1572.55,17,8,20637.98,6,1,2,0,5,3488.28,1372.5,6019.08,106957.9,1528.54,17,8,20637.98,6
"242",37.7962,1,0,6,3177.05,1134.9,5961.03,105660.19,1839.05,29,10,23241.76,25,1,-1,0,6,3159.05,1102.9,5951.03,105562.15,1795.04,29,10,23241.76,25
"243",37.9522,3,0,3,2810.82,1106.66,5849.1,109588.56,2291.22,38.01,11,26469.27,14,1,1,0,3,2792.82,1074.66,5839.1,109490.52,2247.21,38.01,11,26469.27,14
"244",38.1082,4,0,6,3084.88,1169.2,4809.64,86479.08,1966.92,32,10,22683.46,17,2,2,0,6,3066.88,1137.2,4799.64,86381.04,1922.91,32,10,22683.46,17
"245",38.2642,5,0,3,3510.39,1247.92,5584.82,100506.03,2084.76,32,7,19087.05,27,3,3,0,3,3492.39,1215.92,5574.82,100407.99,2040.75,32,7,19087.05,27
"246",38.4202,10,0,6,3373.87,1410.56,6225.02,111653.57,2137.61,36.01,16,23388.31,11,2,8,0,6,3355.87,1378.56,6215.02,111555.53,2093.6,36.01,16,23388.31,11
"247",38.5762,9,0,6,2747.5,1228.74,6121.25,96476.96,2210.83,34,12,23708.26,15,2,7,0,6,2729.5,1196.74,6111.25,96378.92,2166.82,34,12,23708.26,15
"248",38.7322,6,0,5,2732.18,1163.15,5121.24,83841.95,2162.02,31,15,24499.28,18,0,4,0,5,2714.18,1131.15,5111.24,83743.91,2118.01,31,15,24499.28,18
"249",38.8882,8,0,6,3156.56,1364.07,5126.44,85574.66,1974.03,34,15,20524.67,17,4,6,0,6,3138.56,1332.07,5116.44,85476.62,1930.02,34,15,20524.67,17
"250",39.0443,10,0,10,2923.24,1435.84,5321.06,97860.42,2144.73,25,15,18379.45,5,3,8,0,10,2905.24,1403.84,5311.06,97762.38,2100.72,25,15,18379.45,5
"251",39.2003,8,0,10,2959.03,1788.14,4761.92,84117.27,2247.46,32,13,17808.34,14,2,6,0,10,2941.03,1756.14,4751.92,84019.23,2203.45,32,13,17808.34,14
"252",39.3563,2,0,7,2193.2,1432.8,3917.33,76854.13,2209.82,28,16,20190.24,13,3,0,0,7,2175.2,1400.8,3907.33,76756.09,2165.81,28,16,20190.24,13
"253",39.5123,5,0,8,2362.1,1425.73,3596.22,59457.43,1487.55,27,11,16007.16,16,1,3,0,8,2344.1,1393.73,3586.22,59359.39,1443.54,27,11,16007.16,16
"254",39.6683,10,0,8,2270.5,1416.63,4007.01,64809.66,1685.98,28,8,12881.07,12,0,8,0,8,2252.5,1384.63,3997.01,64711.62,1641.97,28,8,12881.07,12
"255",39.8243,4,0,9,2408.94,1516.74,3816.39,68786.05,1858.33,29,10,13254.41,24,2,2,0,9,2390.94,1484.74,3806.39,68688.01,1814.32,29,10,13254.41,24
"256",39.9803,4,0,1,2406.9,1451,2973.74,55904.82,1615.07,31,5,12474.6,13,0,2,0,1,2388.9,1419,2963.74,55806.78,1571.06,31,5,12474.6,13
"257",40.1364,28,0,3,1461.1,1678.7,2421.42,45176.03,1542.19,21,17,10034.76,9,2,26,0,3,1443.1,1646.7,2411.42,45077.99,1498.18,21,17,10034.76,9
"258",40.2924,9,0,4,1473.23,8772.58,2264.62,43267.96,1113.8,27,6,7769.03,16,0,7,0,4,1455.23,8740.58,2254.62,43169.92,1069.79,27,6,7769.03,16
"259",40.4484,6,0,3,1393.37,1460.72,2224.94,40375.9,1724.48,29,8,8098.83,9,0,4,0,3,1375.37,1428.72,2214.94,40277.86,1680.47,29,8,8098.83,9
"260",40.6044,8,0,7,1212.58,1214.61,1963.77,38106.19,1210.67,16,5,7481.41,13,0,6,0,7,1194.58,1182.61,1953.77,38008.15,1166.66,16,5,7481.41,13
"261",40.7604,8,0,2,1046.16,975.62,1600.83,32546.54,869.93,17,7,6974.58,16,1,6,0,2,1028.16,943.62,1590.83,32448.5,825.92,17,7,6974.58,16
"262",40.9164,8,0,3,1041.12,1536.98,1574.51,25563.28,617.48,8,3,6758.27,12,1,6,0,3,1023.12,1504.98,1564.51,25465.24,573.47,8,3,6758.27,12
"263",41.0724,5,0,2,1117.75,1904.77,1499.63,23936.91,686.83,12,7,4630.43,21,0,3,0,2,1099.75,1872.77,1489.63,23838.87,642.82,12,7,4630.43,21
"264",41.2285,12,0,2,828.61,930.3,1247.98,22554.68,582.31,15,2,5154.16,28,3,10,0,2,810.61,898.3,1237.98,22456.64,538.3,15,2,5154.16,28
"265",41.3845,25,0,0,715.95,818.55,1161.18,19790.33,542.14,20,11,4643.91,7,0,23,0,0,697.95,786.55,1151.18,19692.29,498.13,20,11,4643.91,7
"266",41.5405,2,0,2,657.65,816.54,926.3,16318.28,478.89,11,6,3635.63,5,0,0,0,2,639.65,784.54,916.3,16220.24,434.88,11,6,3635.63,5
"267",41.6965,2,0,3,609.41,623.48,1112.76,16446.73,424.7,8,8,3518.38,9,2,0,0,3,591.41,591.48,1102.76,16348.69,380.69,8,8,3518.38,9
"268",41.8525,4,0,4,610.42,506.98,935.36,16791.92,473.87,3,3,3451.57,11,0,2,0,4,592.42,474.98,925.36,16693.88,429.86,3,3,3451.57,11
"269",42.0085,0,0,1,504.97,390.58,904.14,15199.94,686.83,10,8,3526.6,8,0,-2,0,1,486.97,358.58,894.14,15101.9,642.82,10,8,3526.6,8
"270",42.1645,5,0,2,514.01,446.76,768.27,14133.91,418.68,5,1,3231.87,4,0,3,0,2,496.01,414.76,758.27,14035.87,374.67,5,1,3231.87,4
"271",42.3205,8,0,0,569.23,486.9,806.5,13618.77,378.56,13,1,3089.36,4,0,6,0,0,551.23,454.9,796.5,13520.73,334.55,13,1,3089.36,4
"272",42.4765,2,0,0,556.18,547.14,809.52,14952.74,366.52,12,3,2999.23,3,3,0,0,0,538.18,515.14,799.52,14854.7,322.51,12,3,2999.23,3
"273",42.6326,3,0,2,487.91,556.18,797.45,14108.98,426.71,7,3,3027.9,8,1,1,0,2,469.91,524.18,787.45,14010.94,382.7,7,3,3027.9,8
"274",42.7886,2,0,1,462.82,445.76,718.99,12661.66,337.44,4,1,3066.82,3,2,0,0,1,444.82,413.76,708.99,12563.62,293.43,4,1,3066.82,3
"275",42.9446,1,0,4,495.94,550.15,626.51,11685.65,348.47,11,0,2815.06,20,1,-1,0,4,477.94,518.15,616.51,11587.61,304.46,11,0,2815.06,20
"276",43.1006,3,0,1,497.94,642.57,726.03,11204.63,361.51,8,5,2528.07,7,0,1,0,1,479.94,610.57,716.03,11106.59,317.5,8,5,2528.07,7
"277",43.2566,0,0,2,508.99,597.36,749.16,11138.26,381.57,4,2,2797.68,6,0,-2,0,2,490.99,565.36,739.16,11040.22,337.56,4,2,2797.68,6
"278",43.4126,2,0,4,419.67,513,668.72,12318.28,384.57,8,5,2841.64,3,0,0,0,4,401.67,481,658.72,12220.24,340.56,8,5,2841.64,3
"279",43.5686,1,0,3,457.8,519.03,665.71,10927.24,333.43,9,2,2751.68,3,0,-1,0,3,439.8,487.03,655.71,10829.2,289.42,9,2,2751.68,3
"280",43.7246,2,0,3,481.88,534.09,609.43,10383.22,324.41,10,4,2321.16,3,0,0,0,3,463.88,502.09,599.43,10285.18,280.4,10,4,2321.16,3
"281",43.8807,1,0,3,449.77,471.85,669.73,10886.11,404.64,7,2,2484.22,1,0,-1,0,3,431.77,439.85,659.73,10788.07,360.63,7,2,2484.22,1
"282",44.0367,4,1,0,467.83,421.68,623.5,11068.65,399.62,8,3,2767.01,3,0,2,1,0,449.83,389.68,613.5,10970.61,355.61,8,3,2767.01,3
"283",44.1927,2,0,0,387.57,332.42,569.25,10849.19,396.61,8,2,2758.83,1,1,0,0,0,369.57,300.42,559.25,10751.15,352.6,8,2,2758.83,1
"284",44.3487,5,0,1,406.63,366.51,531.09,9385.2,337.44,4,2,2180.68,1,0,3,0,1,388.63,334.51,521.09,9287.16,293.43,4,2,2180.68,1
"285",44.5047,1,0,1,463.82,358.49,678.77,9961.98,371.54,4,2,2377.18,4,1,-1,0,1,445.82,326.49,668.77,9863.94,327.53,4,2,2377.18,4
"286",44.6607,3,0,1,405.63,300.34,621.49,10601.92,390.59,3,0,2377.18,4,1,1,0,1,387.63,268.34,611.49,10503.88,346.58,3,0,2377.18,4
