"","Time","Li7","Be9","B11","Mg24","Al27","Ca43","Ca44","Mn55","Cu65","Zn66","Sr88","Ba137","U238"
"1",0.1942,0,0,0,22,34,13,121.06,39.01,0,0,1,0,0
"2",0.3503,1,0,1,16,50.01,11,111.05,39.01,0,0,0,0,0
"3",0.5063,0,0,0,20,26,8,103.04,30,0,0,0,0,0
"4",0.6623,2,0,0,27,25,17,103.04,33,0,0,0,0,0
"5",0.8183,0,0,1,13,33,7,108.05,36.01,0,0,0,0,0
"6",0.9743,0,0,2,16,60.01,9,121.06,36.01,0,0,0,0,0
"7",1.1303,3,0,2,26,30,9,109.05,39.01,0,0,0,0,0
"8",1.2863,2,0,0,21,34,8,91.03,46.01,0,0,0,0,0
"9",1.4423,3,0,1,19,34,13,91.03,34,0,0,0,0,0
"10",1.5983,1,0,2,23,44.01,9,106.04,45.01,0,0,0,0,0
"11",1.7544,2,0,0,25,35,13,125.06,36.01,0,0,0,0,0
"12",1.9104,2,0,0,17,39.01,13,94.03,48.01,0,0,0,0,0
"13",2.0664,0,0,1,16,33,9,106.04,39.01,0,0,0,0,0
"14",2.2224,2,0,0,14,60.01,10,93.03,49.01,0,0,0,0,0
"15",2.3784,2,0,0,28,27,11,105.04,36.01,0,0,0,0,0
"16",2.5344,3,0,0,20,27,13,94.03,38.01,0,0,0,0,0
"17",2.6904,3,0,2,18,34,4,103.04,50.01,0,0,0,0,0
"18",2.8464,0,0,0,16,39.01,9,101.04,31,0,1,0,0,0
"19",3.0025,1,0,0,21,54.01,6,106.04,35,0,0,0,0,0
"20",3.1585,3,0,0,26,39.01,15,111.05,34,0,2,0,0,0
"21",3.3145,0,0,0,20,35,11,100.04,29,0,0,0,0,0
"22",3.4705,0,0,1,26,29,5,105.04,41.01,0,0,0,0,0
"23",3.6265,0,0,1,11,37.01,11,100.04,40.01,0,0,0,0,0
"24",3.7825,1,0,1,20,41.01,7,100.04,33,0,0,0,0,0
"25",3.9385,0,0,0,14,36,11,91.03,27,0,0,0,0,0
"26",4.0946,1,0,4,19,45.01,13,96.04,31,0,0,1,0,0
