"","Time","Li7","Be9","B11","Mg24","Al27","Ca43","Ca44","Mn55","Cu65","Zn66","Sr88","Ba137","U238","backCorrLi7","backCorrBe9","backCorrB11","backCorrMg24","backCorrAl27","backCorrCa43","backCorrCa44","backCorrMn55","backCorrCu65","backCorrZn66","backCorrSr88","backCorrBa137","Ca44sma","Ca44dydt","Ca44Scaled"
"225",35.1411,4,0,5,1198.45,1585.55,5785.33,116517.55,705.93,3,4,20968.75,7,1,2,0,5,1179.45,1551.55,5774.33,116416.51,665.92,3,4,20968.75,7,103235.65,0.8746472628363,0.906683847182323
"226",35.2972,4,0,4,965.54,1231.77,5404.4,106293.96,689.84,1,2,22889.79,4,0,2,0,4,946.54,1197.77,5393.4,106192.92,649.83,1,2,22889.79,4,105892.03,0.8746472628363,0.930621523687295
"227",35.4532,5,0,1,1096.57,1293.36,4816.9,86027.41,590.35,4,4,20912.17,7,1,3,0,1,1077.57,1259.36,4805.9,85926.37,550.34,4,4,20912.17,7,106503.692,0.8746472628363,0.936133448595021
"228",35.6092,7,0,3,1215.61,1549.12,5586.9,97624.9,784.38,1,3,17665.29,1,2,5,0,3,1196.61,1515.12,5575.9,97523.86,744.37,1,3,17665.29,1,103062.044,0.8746472628363,0.905119415787974
"229",35.7652,5,0,3,1351.94,1523.82,6604.11,109714.43,984.75,1,2,21495.94,12,0,3,0,3,1332.94,1489.82,6593.11,109613.39,944.74,1,2,21495.94,12,101939.894,0.8746472628363,0.895007284357209
"230",35.9212,7,0,3,1694.89,1646.29,6486.39,115352.42,1023.05,1,4,24911.94,11,1,5,0,3,1675.89,1612.29,6475.39,115251.38,983.04,1,4,24911.94,11,103235.65,0.8746472628363,0.906683847182323
"231",36.0772,7,0,0,1378.21,1550.13,5338.76,91131.72,950.5,3,4,26267.21,13,2,5,0,0,1359.21,1516.13,5327.76,91030.68,910.49,3,4,26267.21,13,103002.624,0.8746472628363,0.90458395898664
"232",36.2332,6,0,6,1927.06,1703.01,5945.34,85731.47,873.96,0,2,23321.82,23,0,4,0,6,1908.06,1669.01,5934.34,85630.43,833.95,0,2,23321.82,23,99970.176,0.8746472628363,0.877257387019471
"233",36.3892,8,0,2,1912.86,1876.36,6407.61,104472.96,993.82,6,5,22068.73,7,1,6,0,2,1893.86,1842.36,6396.61,104371.92,953.81,6,5,22068.73,7,99910.988,0.8746472628363,0.876724020860647
"234",36.5453,6,0,2,2106.8,2470.1,6016.51,113246.9,1251.05,3,5,25265.74,12,1,4,0,2,2087.8,2436.1,6005.51,113145.86,1211.04,3,5,25265.74,12,101280.6,0.8746472628363,0.889066128914965
"235",36.7013,4,0,6,1819.54,1859.12,6738.79,128365.79,1271.25,8,5,29201.01,16,4,2,0,6,1800.54,1825.12,6727.79,128264.75,1231.24,8,5,29201.01,16,101987.094,0.859650836999809,0.895432621971193
"236",36.8573,7,0,2,1920.98,1774.96,5374.18,95563.45,1148.1,2,6,28430.27,26,0,5,0,2,1901.98,1740.96,5363.18,95462.41,1108.09,2,6,28430.27,26,104589.768,0.859004770790231,0.918886332758016
"237",37.0133,6,0,4,2179.98,1892.59,5440.88,102452.16,1203.6,4,5,21005.65,13,5,4,0,4,2160.98,1858.59,5429.88,102351.12,1163.59,4,5,21005.65,13,105476.114,0.86230421612856,0.926873542351326
"238",37.1693,12,0,3,2469.04,2100.73,6163.17,122250.23,1422.82,5,10,23559.27,14,2,10,0,3,2450.04,2066.73,6152.17,122149.19,1382.81,5,10,23559.27,14,108820.252,0.943813623245812,0.957008874507111
"239",37.3253,7,0,4,2496.55,2169.85,7231.3,117694.22,1709.28,7,9,26760.55,27,2,5,0,4,2477.55,2135.85,7220.3,117593.18,1669.27,7,9,26760.55,27,112375.706,1,0.989048457578926
"240",37.4813,7,0,2,1997.1,1812.47,5706.97,96819.2,1588.75,4,8,27377.87,20,4,5,0,2,1978.1,1778.47,5695.97,96718.16,1548.74,4,8,27377.87,20,113265.17,0.995119707571609,0.997063764686651
